,calidad_juridica,calle,colonia,delito,edad,fecha_de_hechos,geo_x,geo_y,hora_de_hechos,llave_carpeta_de_investigación,llave_persona,municipio,sexo,stringasfactors,longitud,latitud,label
1,LESIONADO,ESCORPION,SAN VICENTE CHICOLOAPAN DE JUAREZ CENTRO,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,NA,2018-01-17,486432.88,2143075.77,06:15,3412591,5315209,CHICOLOAPAN,Femenino,FALSE,-99.1292013085811,19.3817732357379,pgj
2,LESIONADO,ESCORPION,SAN VICENTE CHICOLOAPAN DE JUAREZ CENTRO,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,NA,2018-01-17,486432.88,2143075.77,06:15,3412591,5315210,CHICOLOAPAN,Femenino,FALSE,-99.1292013085811,19.3817732357379,pgj
3,LESIONADO,ESCORPION,SAN VICENTE CHICOLOAPAN DE JUAREZ CENTRO,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,NA,2018-01-17,486432.88,2143075.77,06:15,3412591,5315211,CHICOLOAPAN,Masculino,FALSE,-99.1292013085811,19.3817732357379,pgj
4,LESIONADO,ESCORPION,SAN VICENTE CHICOLOAPAN DE JUAREZ CENTRO,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,NA,2018-01-17,486432.88,2143075.77,06:15,3412591,5315212,CHICOLOAPAN,Femenino,FALSE,-99.1292013085811,19.3817732357379,pgj
5,LESIONADO,ESCORPION,SAN VICENTE CHICOLOAPAN DE JUAREZ CENTRO,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,NA,2018-01-17,486432.88,2143075.77,06:15,3412591,5315213,CHICOLOAPAN,Femenino,FALSE,-99.1292013085811,19.3817732357379,pgj
6,LESIONADO,ESCORPION,SAN VICENTE CHICOLOAPAN DE JUAREZ CENTRO,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,NA,2018-01-17,486432.88,2143075.77,06:15,3412591,5315214,CHICOLOAPAN,Masculino,FALSE,-99.1292013085811,19.3817732357379,pgj
7,NA,LEOPOLDO AUER,HÉROE DE NACOZARI,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,NA,2018-01-17,484989.01,2144310.15,08:50,3412688,NA,GUSTAVO A MADERO,NA,FALSE,-99.1429611616435,19.3929183844173,pgj
8,CADAVER,CARLOTA,GUADALUPE TEPEYAC,HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION),NA,2018-01-17,484326.08,2145616.14,14:30,3412745,5316066,GUSTAVO A MADERO,Masculino,FALSE,-99.1492855003071,19.4047158855238,pgj
9,CADAVER,CARLOTA,GUADALUPE TEPEYAC,HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION),NA,2018-01-17,484326.08,2145616.14,14:30,3412745,5316067,GUSTAVO A MADERO,Femenino,FALSE,-99.1492855003071,19.4047158855238,pgj
10,CADAVER,CARLOTA,GUADALUPE TEPEYAC,HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION),NA,2018-01-17,484326.08,2145616.14,14:30,3412745,5316074,GUSTAVO A MADERO,Femenino,FALSE,-99.1492855003071,19.4047158855238,pgj
