"id_global","id_PGJ","id_SSC","id_C5","fecha_incidente","hora_incidente","calle","colonia","alcaldia","lat","lon","delito_pgj","categoria_delito_pgj","fiscalia","agencia","unidad_investigacion"
325,16648,NA,NA,"04/01/2018","13:00:00","AUTOPISTA MEXICO CUERNAVACA KILOMETRO 42","SAN PEDRO MÁRTIR","TLALPAN",19.266445735705,-99.165080120084,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN TLALPAN","TLP-4","UI-2CD"
326,16702,NA,NA,"08/01/2018","01:50:00","JUCHITAN","HIPÓDROMO","CUAUHTEMOC",19.4061337975436,-99.1778784996473,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN CUAUHTEMOC","CUH-7","UI-1SD"
327,16704,NA,NA,"08/01/2018","05:20:00","CEDRO","SAN JUAN XALPA","IZTAPALAPA",19.3326458798922,-99.0852483807172,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN IZTAPALAPA","IZP-9","UI-2SD"
328,16741,NA,NA,"10/01/2018","07:50:00","HUIZACHITO Y NOCHE DE PAZ","JARDINES DE LA PALMA","CUAJIMALPA DE MORELOS",19.3734035463236,-99.2791103542625,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN CUAJIMALPA","CJ-1","UI-1SD"
329,16776,NA,NA,"12/01/2018","00:05:00","ANILLO PERIFERICO SUR","ARENAL TEPEPAN","TLALPAN",19.2866188034555,-99.1525340001951,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN TLALPAN","TLP-3","UI-3CD"
330,16791,NA,NA,"12/01/2018","17:45:00","SUR 103","EL PARQUE","VENUSTIANO CARRANZA",19.4250413851614,-99.1161132179711,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN VENUSTIANO CARRANZA","VC-3","UI-1CD"
331,16856,NA,NA,"15/01/2018","16:30:00","SUR 103","EL PARQUE","VENUSTIANO CARRANZA",19.4250413851614,-99.1161132179711,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN VENUSTIANO CARRANZA","VC-3","UI-1CD"
332,16860,NA,NA,"15/01/2018","20:50:00","EJE 10 SUR SANTA CATARINA","LA CONCEPCION","TLAHUAC",19.309523917671,-98.9641445436293,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN TLAHUAC","TLH-2","UI-1SD"
333,16961,NA,NA,"20/01/2018","22:35:00","KILÓMETRO 19+200","CONTADERO","CUAJIMALPA DE MORELOS",19.3479778330077,-99.2851551098039,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN CUAJIMALPA","CJ-1","UI-1SD"
334,16984,NA,NA,"22/01/2018","06:10:00","ESTACION DEL METRO LA VIGA LINEA 8 DIRECCION GARIBALDI","JAMAICA","VENUSTIANO CARRANZA",19.4068318224881,-99.1260621166626,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN AGENCIAS DE ATENCIÓN ESPECIALIZADAS","STCMP","UI-1CD"
335,17023,NA,NA,"24/01/2018","01:50:00","EJE CENTRAL LAZARO CARDENAS","ÁLAMOS","BENITO JUAREZ",19.3996952102197,-99.1454332198418,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN BENITO JUÁREZ","BJ-1","UI-1SD"
336,17024,NA,NA,"24/01/2018","05:20:00","INSURGENTES  SUR","SANTA ÚRSULA XITLA","TLALPAN",19.2836786343279,-99.1756032255983,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN MIGUEL HIDALGO","H2","UI-1SD"
337,17063,NA,NA,"26/01/2018","07:25:00","AUTOPISTA MEXICO PUEBLA  21+589 (AVENIDA PRINCIPAL)","AMPLIACIÓN EMILIANO ZAPATA","IZTAPALAPA",19.3397663911961,-98.9767126393181,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN IZTAPALAPA","IZP-9","UI-3SD"
338,17086,NA,NA,"27/01/2018","01:20:00","DELFIN MADRIGAL","PEDREGAL DE SANTO DOMINGO","COYOACAN",19.3242951173565,-99.1736650330586,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN COYOACÁN","COY-1","UI-3CD"
339,17088,NA,NA,"27/01/2018","03:00:00","ANILLO PERIFERICO SUR","GRANJAS COAPA","TLALPAN",19.2981688970692,-99.1131053996791,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN TLALPAN","TLP-4","UI-3CD"
340,17113,NA,NA,"28/01/2018","03:55:00","FRANCISCO DEL PASO Y TRONCOSO","JARDÍN BALBUENA","VENUSTIANO CARRANZA",19.412575517039,-99.1130462677943,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (CAIDA)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN VENUSTIANO CARRANZA","VC-3","UI-1SD"
341,17214,NA,NA,"01/02/2018","13:40:00","CARR. FED. MEXICO-CUERNAVACA","PARRES EL GUARDA","TLALPAN",19.135107917662,-99.1748099292593,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN TLALPAN","TLP-3","UI-3CD"
342,17284,NA,NA,"04/02/2018","09:50:00","AÑOS DE  JUAREZ ESQUINA FLORICULTORES","SAN GREGORIO ATLAPULCO","XOCHIMILCO",19.2571106100001,-99.0472104298216,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN XOCHIMILCO","XO-2","UI-3CD"
343,17335,NA,NA,"07/02/2018","04:00:00","RIVERA DE SAN COSME","SANTA MARIA LA RIBERA","CUAUHTEMOC",19.4423004538578,-99.1615096402853,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN MIGUEL HIDALGO","H2","UI-1SD"
344,17346,NA,NA,"07/02/2018","15:27:00","PASEOS DEL PEDREGAL","JARDINES DEL PEDREGAL","ALVARO OBREGON",19.3198835983094,-99.2136326364047,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN ÁLVARO OBREGÓN","AO-3","UI-3CD"
345,17364,NA,NA,"08/02/2018","14:30:00","AVENIDA PRINCIPAL","CENTRAL DE ABASTO","IZTAPALAPA",19.3715394000329,-99.0901106004421,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN IZTAPALAPA","IZP-6","UI-1CD"
346,17390,NA,NA,"09/02/2018","22:30:00","AV. MEXICO COYOACAN","GENERAL PEDRO MARIA ANAYA","BENITO JUAREZ",19.3591424737808,-99.1633374933553,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN BENITO JUÁREZ","H3","UI-1SD"
347,17463,NA,NA,"13/02/2018","06:55:00","AV. MEXICO COYOACAN","GENERAL PEDRO MARIA ANAYA","BENITO JUAREZ",19.3591424737808,-99.1633374933553,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN BENITO JUÁREZ","H3","UI-1SD"
348,17495,NA,NA,"15/02/2018","01:00:00","AVENIDA ERMITA IZTAPALAPA","AMPLIACION ZONA URBANA EJIDAL SANTA MARIA AZTAHUAC","IZTAPALAPA",19.3443804091163,-99.0302983918169,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (CAIDA)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN IZTAPALAPA","IZP-6","UI-1CD"
349,17520,NA,NA,"15/02/2018","19:45:00","AV 5","GRANJAS DE SAN ANTONIO","IZTAPALAPA",19.3620438651762,-99.1100691752672,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN IZTAPALAPA","IZP-8","UI-2CD"
350,17524,NA,NA,"15/02/2018","23:00:00","SALVADOR DIAZ MIRON","SANTO TOMAS","MIGUEL HIDALGO",19.4518093038201,-99.1701793002622,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN MIGUEL HIDALGO","H1","UI-1SD"
351,17591,NA,NA,"18/02/2018","17:35:00","EJE  DIEZ SUR","SELENE","TLAHUAC",19.2940979038312,-98.997351709935,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN PARA LA ATENCIÓN DE NIÑOS, NIÑAS Y ADOLESCENTES","57","UI-2CD"
352,17610,NA,NA,"20/02/2018","07:25:00","ACUEDUCTO DE GUADALUPE","SAN PEDRO ZACATENCO","GUSTAVO A MADERO",19.5018357026337,-99.1173315352234,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN GUSTAVO A. MADERO","GAM-2","UI-1CD"
353,17665,NA,NA,"23/02/2018","05:50:00","EJE 6 ANGEL URRAZA","DEL VALLE CENTRO","BENITO JUAREZ",19.3825066308766,-99.1649197145242,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN BENITO JUÁREZ","BJ-2","UI-2CD"
354,17674,NA,NA,"23/02/2018","11:50:00","AVENIDA RIO DE LOS REMEDIOS","SAN FELIPE DE JESÚS","GUSTAVO A MADERO",19.4961202965129,-99.0778219892723,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN GUSTAVO A. MADERO","GAM-2","UI-1CD"
355,17705,NA,NA,"24/02/2018","14:30:00","AQUILES SERDAN","TIERRA NUEVA","AZCAPOTZALCO",19.4998196188341,-99.2026014732635,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN MIGUEL HIDALGO","H2","UI-1SD"
356,17714,NA,NA,"24/02/2018","23:15:00","CARRETERA FEDERAL XOCHIMILCO-OAXTEPEC","SAN MARCOS (SANTA ANA TLACOTENCO)","MILPA ALTA",19.1707290973981,-98.9949368000435,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN MILPA ALTA","MIL-1","UI-2CD"
357,17774,NA,NA,"27/02/2018","13:00:00","LEÑADORES","PROGRESO DEL SUR","IZTAPALAPA",19.3539632158089,-99.1123070834544,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN COYOACÁN","COY-5","UI-2CD"
358,17801,NA,NA,"28/02/2018","16:01:59","SUR 113 A","GABRIEL RAMOS MILLÁN SECCIÓN TLACOTAL","IZTACALCO",19.3968984748071,-99.1083904984203,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN IZTACALCO","IZC-2","UI-3SD"
359,17824,NA,NA,"01/03/2018","20:23:59","DR. BALMIS","DOCTORES","CUAUHTEMOC",19.4148214646811,-99.1508288658614,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN CUAUHTEMOC","CUH-8","UI-1SD"
360,17849,NA,NA,"02/03/2018","21:00:00","CARR. MEXICO TOLUCA","CUAJIMALPA","CUAJIMALPA DE MORELOS",19.3496299952339,-99.303444288398,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN CUAJIMALPA","CJ-1","UI-1SD"
