id_global,id_PGJ,id_SSC,id_C5,fecha_incidente,hora_incidente,calle,colonia,alcaldia,lat,lon,delito_pgj,categoria_delito_pgj,fiscalia,agencia,unidad_investigacion,no_folio_ssc,tipo_evento_ssc,tipo_interseccion,zona_ssc,cuadrante_ssc,sector_ssc,reporte_ssc,tipo_vehiculo_1,tipo_vehiculo_2,tipo_vehiculo_3,tipo_vehiculo_4,marca_vehiculo_1,marca_vehiculo_2,marca_vehiculo_3,marca_vehiculo_4,ruta_transporte_publico,matricula_1,matricula_2,matricula_3,matricula_4,condicion,lesiones,edad_occiso,edad_lesionado,total_occisos,total_lesionados,identidad,unidad_medica_de_apoyo,matricula_unidad_medica,lugar_del_deceso,trasladados_lesionado,hospital,observaciones_ssc,codigo_cierre_c5,incidente_c4,clas_con_f_alarma_c5,tipo_entrada_c5
1,18912,3699,AO/180419/09791,19/04/2018,22:25:03,FRANCISCO SARABIA,PROVIDENCIA,AZCAPOTZALCO,19.4897027,-99.20774298,HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION),DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN AZCAPOTZALCO,AZ-1,UI-2SD,460303,CHOQUE,T,5,P-2.1.1,CLAVERIA,CLAVERIA,AUTOMOVIL,SD,NA,NA,CAMARO,SD,NA,NA,NA,MWY7786,SD,NA,NA,OCCISO,OCCISO POR TCE Y TORAX A DESCARTAR,40,NA,1,0,CONDUCTOR,CRUZ ROJA/CCO,DF037,EN EL LUGAR DE LOS HECHOS,0,NA,NA,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",cadáver-accidente automovilístico,EMERGENCIA,BOTÓN DE AUXILIO
2,17251,1129,BJ/180203/00519,03/02/2018,01:05:25,CALZADA DE TLALPAN,ÁLAMOS,BENITO JUAREZ,19.39848938,-99.13744929,HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO),DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN BENITO JUÁREZ,BJ-3,UI-1SD,SD,ATROPELLADO,T,4,S-1.1.4  ,NARVARTE ALAMOS,NARVARTE ALAMOS,AUTOMOVIL,NA,NA,NA,SD,NA,NA,NA,NA,SD,NA,NA,NA,OCCISO,OCCISO,60,NA,1,0,PEATON,ERUM/CCO,MX041G2,EN EL LUGAR DE LOS HECHOS,0,NA,NA,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",cadáver-atropellado,EMERGENCIA,BOTÓN DE AUXILIO
3,17556,1612,BJ/180217/01307,17/02/2018,03:37:23,AVENIDA PERIFERICO     NUMERO  5476,EL CARACOL,COYOACAN,19.3016998,-99.16385658,HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO),DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN COYOACÁN,COY-2,UI-3CD,375542,ATROPELLADO,T,4,SD,XOTEPINGO,XOTEPINGO,AUTOMOVIL,NA,NA,NA,SEAT  ,NA,NA,NA,NA,MUZ3711,NA,NA,NA,OCCISO,OCCISO,25,NA,1,0,PEATON,CRUZ ROJA/CCO,17,EN EL LUGAR DE LOS HECHOS,0,NA,NA,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",cadáver-atropellado,EMERGENCIA,BOTÓN DE AUXILIO
4,20092,5388,BJ/180612/00492,12/06/2018,02:23:55,DOCTOR ANDRADE,ATENOR SALAS,BENITO JUAREZ,19.40277891,-99.14880143,HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO),DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN BENITO JUÁREZ,BJ-3,UI-1SD,537330,ATROPELLADO,DESNIVEL,4,S-1.1.2,NARVARTE ALAMOS,NARVARTE ALAMOS,AUTOMOVIL,NA,NA,NA,SD,NA,NA,NA,NA,SD,NA,NA,NA,OCCISO,OCCISO POR POLITRAUMATISMO,60,NA,1,0,PEATON,CCO,8,EN EL LUGAR DE LOS HECHOS,0,NA,NA,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",cadáver-atropellado,EMERGENCIA,BOTÓN DE AUXILIO
5,21339,8835,BJ/180812/01959,12/08/2018,02:58:00,ANILLO PERIFERICO (BLVD. ADOLFO RUIZ CORTINES),CANTERA PUENTE DE PIEDRA,TLALPAN,19.30093968,-99.16183239,HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO),DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN TLALPAN,TLP-3,UI-2CD,644345,ATROPELLADO,T,4,S-2.5.4,HUIPULCO HOSPITALES,HUIPULCO HOSPITALES,AUTOMOVIL,NA,NA,NA,SD,NA,NA,NA,NA,SD,NA,NA,NA,OCCISO,TCE,25,NA,1,0,PEATON,CCO,MX047G2,EN EL LUGAR DE LOS HECHOS,0,NA,NA,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",cadáver-atropellado,EMERGENCIA,RADIO
6,22519,11782,BJ/181003/07976,03/10/2018,20:17:03,CALZADA DE MIRAMONTE  ESQUINA SIENA,RESIDENCIAL MIRAMONTES,TLALPAN,19.3029841,-99.1239353,HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO),DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN TLALPAN,TLP-4,UI-1CD,738923,CAIDA DE PASAJERO,CRUZ,4,S-3-3-4,COAPA,COAPA,MICROBUS,NA,NA,NA,SD,NA,NA,NA,36,360231,NA,NA,NA,OCCISO,DECESO POR ETIOLOGIA A DESCARTAR,35,NA,1,0,PASAJERO,CCO,MX006G2,EN EL LUGAR DE LOS HECHOS,0,NA,NA,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",cadáver-atropellado,EMERGENCIA,BOTÓN DE AUXILIO
7,16603,23,C5/180101/02094,01/01/2018,06:43:01,AQUILES SERDAN,TIERRA NUEVA,AZCAPOTZALCO,19.49964997,-99.20255045,HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION),DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN AZCAPOTZALCO,AZ-1,UI-2SD,348107,DERRAPADO,T,5,P-2.3.6,HORMIGA,HORMIGA,MOTOCICLETA,NA,NA,NA,SD,NA,NA,NA,NA,SD,NA,NA,NA,OCCISO,TCE,SD,NA,1,0,MOTOCICLISTA,CCO,19,EN EL LUGAR DE LOS HECHOS,0,NA,NA,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",cadáver-accidente automovilístico,EMERGENCIA,ZELLO
8,16609,2,C5/180101/04462,01/01/2018,14:18:36,NORTE 1-A 5118,MAXIMINO ÁVILA CAMACHO,GUSTAVO A MADERO,19.47991826,-99.13623094,HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO),DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN GUSTAVO A. MADERO,GAM-3,UI-2SD,312196,ATROPELLADO,CRUZ,1,SD,LINDAVISTA,LINDAVISTA,SD,NA,NA,NA,SD,NA,NA,NA,NA,SD,NA,NA,NA,OCCISO,TCE,42,NA,1,0,PEATON,CCO,SD,EN EL LUGAR DE LOS HECHOS,0,NA,NA,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",cadáver-atropellado,EMERGENCIA,LLAMADA DEL 911
9,16637,58,C5/180103/05919,03/01/2018,18:46:00,AVENIDA SAN BERNABE,LOS PADRES,LA MAGDALENA CONTRERAS,19.31945348,-99.2452468,HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO),DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN MAGDALENA CONTRERAS,MC-2,UI-1CD,314955,ATROPELLADO,CRUZ,4,SD,SAN JERONIMO,SAN JERONIMO,AUTOBUS DE PASAJEROS,NA,NA,NA,MERCEDES BENZ,NA,NA,NA,42,420100,NA,NA,NA,OCCISO,OCCISO,40,NA,1,0,PEATON,CCO,703,EN EL LUGAR DE LOS HECHOS,0,NA,NA,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",cadáver-atropellado,EMERGENCIA,LLAMADA DEL 911
10,16655,121,C5/180104/06139,04/01/2018,19:32:57,AVENIDA RIO MISSISIPPI,ANZURES,MIGUEL HIDALGO,19.42961629,-99.17402726,HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO),DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-2,UI-2CD,506934,CHOQUE,CRUZ,2,P-3.1.8,ANGEL ZONA ROSA,ANGEL ZONA ROSA,AUTOMOVIL,AUTOMOVIL,NA,NA,MERCEDES BENZ,JEEP,NA,NA,NA,475ZBM,464ZZN,NA,NA,OCCISO,TCE,11,NA,1,0,PASAJERO,CCO,12 DF12,EN EL LUGAR DE LOS HECHOS,0,NA,NA,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",cadáver-atropellado,EMERGENCIA,LLAMADA DEL 911
