"id_original","base_original","timestamp","id_global","id_PGJ","id_SSC","id_C5","lat","lon","d_PGJ","d_SSC","d_C5","t_PGJ","t_SSC","t_C5"
"23607","PGJ","20/11/2018, 08:30:00",392,"23607","14536","C5/181120/01785",19.4259557471219,-99.1535506244117,,47.503384212271,27.632338547253,,15.0000000017462,19.5500000019092
"13827","SSC","07/11/2018, 19:05:00",594,"23332","13827","C5/181107/07540",19.378521,-99.254198,249.902831470131,,802.20055334247,5.00000000058208,,2.05000000249129
"21857","PGJ","03/09/2018, 23:02:59",297,"21857","10171","C5/180903/10949",19.3820703044888,-99.0506466310568,,901.648089019023,908.337851738186,,37.9999999981374,0.0833333318587393
"24017","PGJ","07/12/2018, 09:50:00",426,"24017","15538","C5/181207/03110",19.3146437225085,-99.0711597545722,,156.084147500642,627.965748979295,,7.99999999988358,0.399999999208376
"17399","PGJ","10/02/2018, 03:00:00",50,"17399","1380","C5/180210/01084",19.3899094718931,-99.1354707385399,,310.455142237862,313.005934056522,,2.99999999930151,2.68333333195187
"C5/180204/09067","C5","04/02/2018, 21:59:06",865,"17291","1201","C5/180204/09067",19.33838001,-99.11815992,216.423394629908,236.089832474792,,15.8999999973457,15.8999999973457,
"2491","SSC","13/03/2018, 13:30:00",719,,"2491",,19.376958,-99.135432,,,,,,
"24157","PGJ","12/12/2018, 22:17:59",434,"24157","15870","C5/181212/09013",19.3754412051281,-99.0508958430202,,1865.87776789659,1820.93149066697,,52.9999999998836,92.3333333287155
"1379","SSC","10/02/2018, 02:02:00",599,"17397","1379","C5/180210/00745",19.257023,-99.165789,104.212410459156,,5.73864078079744,2.00000000128057,,4.03333333320916
"C5/180719/00698","C5","19/07/2018, 03:00:07",1079,,"7358","C5/180719/00698",19.33113996,-99.08199,,17.6673852867171,,,46.1166666657664,
"9983","SSC","01/09/2018, 13:49:00",648,"21798","9983","C5/180901/06236",19.487813,-99.113701,27.1365401609238,,20.3917422877536,3.99999999732245,,10.9999999991851
"13272","SSC","29/10/2018, 06:32:59",792,"23125","13272","C5/181029/01307",19.344437,-99.028091,315.52573672239,,95.6486101585652,22.0000000036089,,3.73333333118353
"17579","PGJ","18/02/2018, 04:06:00",59,"17579","1664","C5/180218/01706",19.324596853078,-99.1736300030363,,104.778766511363,75.7003022669429,,0,0.349999997997656
"22914","PGJ","20/10/2018, 05:00:00",348,"22914","12762","GA/181020/01840",19.438593018328,-99.1230889671771,,72.1715601541927,141.01151900677,,7.99999999988358,6.04999999981374
"C5/181201/02799","C5","01/12/2018, 07:14:26",960,"23855","15203","C5/181201/02799",19.40112999,-99.06446016,1077.63049456814,7.8555718495629,,5.56666666350793,5.56666666350793,
"20396","PGJ","28/06/2018, 13:30:00",231,"20396","6173","C5/180628/04346",19.3048793135754,-99.2032284235767,,1223.45091946594,1131.32532046583,,10.0000000011642,16.5666666679317
"24158","PGJ","12/12/2018, 23:00:00",435,"24158",,,19.1999155302321,-99.1488056163652,,,,,,
"AO/180822/03038","C5","22/08/2018, 09:14:00",1021,,"9404","AO/180822/03038",19.456518,-99.214978,,88.675464691897,,,30.0000000034925,
"2328","SSC","09/03/2018, 09:19:00",696,"18014","2328","C5/180309/02057",19.503842,-99.206214,548.303668746221,,23.0571951761456,23.9999999996508,,25.5833333311602
"BJ/180612/00492","C5","12/06/2018, 02:23:55",1039,"20092","5388","BJ/180612/00492",19.403726,-99.148714,105.199648036151,62.2128897379025,,21.083333332208,6.08333333570044,
"23049","PGJ","26/10/2018, 07:25:00",355,"23049","13099","C5/181026/01492",19.2831646771714,-99.2038877616597,,582.805212499068,668.278232922925,,24.9999999976717,44.0999999991618
"19227","PGJ","05/05/2018, 02:00:00",162,"19227",,,19.3328515890512,-99.1678272111147,,,,,,
"22664","PGJ","09/10/2018, 23:20:00",332,"22664","12139","C5/181009/09599",19.3296370526874,-99.140110956501,,1441.14943950515,1405.54115557849,,0,1.96666666539386
"8835","SSC","12/08/2018, 03:04:00",714,"21339","8835","BJ/180812/01959",19.301131,-99.162206,44.5967901765047,,80.9095522183605,19.0000000043074,,6.00000000384171
"24504","PGJ","28/12/2018, 22:50:00",457,"24504",,,19.388509864584,-99.14034974115,,,,,,
"20233","PGJ","19/06/2018, 16:45:00",219,"20233",,,19.3050948748769,-99.07902782685,,,,,,
"22762","PGJ","14/10/2018, 00:40:00",341,"22762","12407","C5/181014/00156",19.5268561878866,-99.1687393792505,,417.98324980862,498.10854526135,,13.0000000004657,23.1333333346993
"16582","SSC","24/12/2018, 17:15:00",561,"24431","16582",,19.343839,-99.061589,225.007227961798,,,0,,
"C5/181029/06243","C5","29/10/2018, 16:25:55",1005,"23133","13279","C5/181029/06243",19.36623,-99.209427,661.215731153256,40.5839616259905,,7.06666666839737,7.06666666839737,
"8621","SSC","08/08/2018, 16:30:00",693,"21255","8621",,19.368914,-99.007746,20.9027756268684,,,29.9999999982538,,
"22663","PGJ","09/10/2018, 22:30:00",331,"22663","12165","C5/181009/09145",19.3048696859728,-99.2414083133682,,2984.17137342807,2986.27171865501,,0,13.7666666682344
"22711","PGJ","12/10/2018, 04:00:00",335,"22711",,,19.3042537725293,-99.0367406664969,,,,,,
"20195","PGJ","17/06/2018, 07:00:00",215,"20195",,,19.4023392263491,-99.2005710432415,,,,,,
"18007","PGJ","09/03/2018, 03:40:00",87,"18007","2323","C5/180309/00667",19.4047150087712,-99.0708520351346,,161.73059867248,51.4580443997255,,10.0000000011642,6.8666666635545
"7244","SSC","17/07/2018, 06:35:00",806,,"7244","BJ/180717/01105",19.266003,-99.228151,,,1.37054353417617,,,6.95000000065193
"13237","SSC","28/10/2018, 01:45:00",572,"23098","13237","C5/181028/01300",19.32129,-99.089973,83.4722474962712,,631.191414369558,5.00000000058208,,17.2500000038417
"5893","SSC","23/06/2018, 15:30:00",652,"20308","5893","C5/180623/06453",19.342872,-99.040543,15.8154761197261,,36.2908175670095,0,,14.9999999965075
"23774","PGJ","27/11/2018, 06:18:00",404,"23774",,,19.4236769968638,-99.087457602145,,,,,,
"21948","PGJ","08/09/2018, 03:35:00",302,"21948","10444","C5/180908/01574",19.2858419973419,-99.147311718914,,3630.89804865567,3520.02305122412,,10.0000000011642,22.3333333310438
"5532","SSC","16/06/2018, 05:05:00",496,"20173","5532","C5/180616/02023",19.457086,-99.149133,765.04106094691,,57.1065433324796,52.9999999998836,,2.88333333155606
"C5/180120/09138","C5","20/01/2018, 22:07:42",851,"16961",,"C5/180120/09138",19.379761,-99.25235,4923.21296950276,,,27.3000000009779,,
"C5/181013/10699","C5","13/10/2018, 22:04:26",1107,"22757","12396","C5/181013/10699",19.48834998,-99.13385988,219.390170481566,8.64659760714606,,14.4333333335817,0.566666668164544,
"C5/181031/09437","C5","31/10/2018, 22:35:52",1082,,,"C5/181031/09437",19.415567,-99.073715,,,,,,
"19117","PGJ","30/04/2018, 09:00:00",159,"19117","4074","IZ/180430/02302",19.3306895672927,-99.0661506362873,,3.13912779041251,57.7511111894681,,42.0000000006985,7.85000000149012
"16704","PGJ","08/01/2018, 05:20:00",9,"16704",,,19.3326458798922,-99.0852483807172,,,,,,
"11935","SSC","06/10/2018, 04:50:00",687,"22580","11935","C5/181006/01845",19.350655,-99.178946,1652.73492897641,,207.683281021393,9.99999999592546,,3.86666666949168
"20168","PGJ","15/06/2018, 22:50:00",209,"20168",,"C5/180615/09892",19.465003256825,-99.1392985884524,,,69.3371950417366,,,9.10000000032596
"C5/180131/05316","C5","31/01/2018, 16:42:52",879,,"1046","C5/180131/05316",19.40590998,-99.11360988,,206.662174823514,,,2.13333333435003,
"13653","SSC","04/11/2018, 15:50:00",490,"23265","13653","C5/181104/06518",19.31772,-99.230697,45.7099855389833,,284.705339826004,0,,4.04999999853317
"20461","PGJ","01/07/2018, 07:05:00",237,"20461","6324",,19.3764660693782,-99.0807793644705,,376.635737498902,,,84.9999999994179,
"16603","PGJ","01/01/2018, 06:45:00",1,"16603","23","C5/180101/02094",19.4996499673231,-99.202550451229,,91.0185130909583,64.883296241617,,0,1.98333333071787
"7123","SSC","15/07/2018, 05:50:00",736,,"7123","C5/180715/02693",19.392292,-99.073837,,,28.4354421353597,,,0.500000001629815
"20383","PGJ","27/06/2018, 21:20:00",229,"20383",,,19.3125132971661,-99.2209120002561,,,,,,
"C5/181230/06562","C5","30/12/2018, 16:23:46",1030,"24544","16952","C5/181230/06562",19.127853,-99.18148,944.429405752162,1841.653863894,,11.233333334676,38.2333333336283,
"23116","PGJ","28/10/2018, 17:39:00",361,"23116","13267",,19.3858368877019,-99.0602336332932,,1029.15117255998,,,10.9999999991851,
